City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,laguna,38.421,-121.4238,35.35,31.0,0.0,2.57,US,1719005991.0
1,novovyazniki,56.1975,42.1711,10.6,91.0,0.0,2.88,RU,1719005992.0
2,tiksi,71.6872,128.8694,12.12,63.0,100.0,3.5,RU,1719005994.0
3,nizhneudinsk,54.9076,99.0276,8.84,74.0,9.0,2.3,RU,1719005995.0
4,beruniy,41.6911,60.7525,26.98,50.0,0.0,3.09,UZ,1719005996.0
5,bredasdorp,-34.5322,20.0403,13.2,84.0,35.0,4.79,ZA,1719005997.0
6,la ronge,55.1001,-105.2842,25.12,20.0,20.0,3.6,CA,1719005998.0
7,huocheng,,,,,,,,
8,northam,51.0333,-4.2167,14.58,95.0,91.0,6.67,GB,1719006000.0
9,jamestown,42.097,-79.2353,29.77,65.0,40.0,3.09,US,1719005857.0
10,kayenta,36.7278,-110.2546,24.47,45.0,63.0,3.2,US,1719006003.0
11,ust-nera,64.5667,143.2,18.31,65.0,39.0,2.51,RU,1719006004.0
12,nemuro,43.3236,145.575,10.25,98.0,99.0,3.2,JP,1719006005.0
13,brigantine,39.4101,-74.3646,32.89,74.0,0.0,6.69,US,1719005825.0
14,koh kong,11.6175,102.9806,26.66,87.0,100.0,6.13,KH,1719006007.0
15,mata-utu,-13.2816,-176.1745,27.82,78.0,59.0,9.86,WF,1719006008.0
16,billings,45.7833,-108.5007,23.87,56.0,75.0,5.66,US,1719006000.0
17,port-aux-francais,-49.35,70.2167,1.99,93.0,73.0,6.32,TF,1719006011.0
18,dunedin,-45.8742,170.5036,7.67,74.0,100.0,2.24,NZ,1719006012.0
19,kulhudhuffushi,6.6221,73.07,28.36,79.0,100.0,7.76,MV,1719006013.0
20,tulun,54.5611,100.5792,7.16,71.0,37.0,2.37,RU,1719006014.0
21,uturoa,-16.7333,-151.4333,26.96,64.0,95.0,5.92,PF,1719006015.0
22,hawaiian paradise park,19.5933,-154.9731,28.18,74.0,100.0,2.57,US,1719006016.0
23,baker city,44.7749,-117.8344,28.11,27.0,92.0,3.76,US,1719006018.0
24,ghat,24.9647,10.1728,34.05,14.0,0.0,3.19,LY,1719006019.0
25,chubbuck,42.9208,-112.4661,31.19,19.0,20.0,4.12,US,1719006020.0
26,naze,28.3667,129.4833,25.51,90.0,100.0,4.5,JP,1719006021.0
27,longyearbyen,78.2186,15.6401,6.91,70.0,0.0,5.66,SJ,1719006022.0
28,andergrove,-21.0833,149.1833,18.69,82.0,100.0,1.28,AU,1719006023.0
29,kodiak,57.79,-152.4072,10.73,87.0,100.0,3.6,US,1719006025.0
30,lorengau,-2.0226,147.2712,27.55,81.0,95.0,2.68,PG,1719006026.0
31,papatowai,-46.5619,169.4708,8.06,74.0,93.0,1.36,NZ,1719006027.0
32,waitangi,-43.9535,-176.5597,9.9,90.0,48.0,7.78,NZ,1719006028.0
33,grytviken,-54.2811,-36.5092,-8.28,83.0,22.0,5.05,GS,1719006029.0
34,ugoofaaru,5.6667,73.0,28.33,82.0,100.0,9.03,MV,1719006030.0
35,banff,51.1762,-115.5698,21.57,18.0,67.0,2.57,CA,1719006031.0
36,bethel,41.3712,-73.414,30.57,85.0,100.0,5.66,US,1719005896.0
37,mar del plata,-38.0023,-57.5575,13.94,98.0,100.0,4.47,AR,1719005723.0
38,adamstown,-25.066,-130.1015,20.39,74.0,83.0,1.85,PN,1719006035.0
39,nagqu,31.5,92.0,5.53,86.0,65.0,0.75,CN,1719006036.0
40,agat village,13.3886,144.6585,28.53,83.0,20.0,4.12,GU,1719006037.0
41,khvansar,33.2205,50.315,19.76,30.0,70.0,2.87,IR,1719006038.0
42,ringas,27.35,75.5667,31.36,45.0,93.0,3.32,IN,1719006040.0
43,paita,-5.0892,-81.1144,18.64,81.0,100.0,6.45,PE,1719006041.0
44,aasiaat,68.7098,-52.8699,3.82,81.0,100.0,2.35,GL,1719006042.0
45,alotau,,,,,,,,
46,broome,42.2506,-75.833,30.81,72.0,0.0,2.57,US,1719006044.0
47,eregli,37.5133,34.0467,22.56,47.0,6.0,1.97,TR,1719006045.0
48,punta arenas,-53.15,-70.9167,-5.99,93.0,20.0,2.57,CL,1719006028.0
49,yellowknife,62.456,-114.3525,21.34,47.0,75.0,2.24,CA,1719006048.0
50,santa cruz,-17.8,-63.1667,29.7,65.0,40.0,10.29,BO,1719006049.0
51,stanley,54.868,-1.6985,14.29,74.0,0.0,2.06,GB,1719006040.0
52,badger,64.8,-147.5333,22.95,42.0,75.0,7.72,US,1719006051.0
53,titao,13.7667,-2.0667,31.49,40.0,92.0,11.41,BF,1719006052.0
54,remire-montjoly,4.9167,-52.2667,26.02,89.0,0.0,0.51,GF,1719006053.0
55,whakatane,-37.9585,176.9854,10.99,91.0,32.0,1.34,NZ,1719006055.0
56,tinajo,29.0788,-13.7081,20.49,64.0,20.0,9.77,ES,1719006056.0
57,awash,8.9833,40.1667,27.32,47.0,98.0,6.42,ET,1719006057.0
58,ust'-charyshskaya pristan',52.3934,83.6635,16.75,87.0,34.0,1.87,RU,1719006058.0
59,tazovsky,67.4667,78.7,2.19,74.0,2.0,1.93,RU,1719006059.0
60,katsuura,35.1333,140.3,20.76,78.0,94.0,1.54,JP,1719006060.0
61,hadibu,12.65,54.0333,28.09,78.0,99.0,9.8,YE,1719006061.0
62,iqaluit,63.7506,-68.5145,5.85,75.0,75.0,6.17,CA,1719006063.0
63,kupang,-10.1667,123.5833,28.32,78.0,20.0,7.2,ID,1719006064.0
64,parnu,58.3859,24.4971,11.05,76.0,3.0,1.03,EE,1719006065.0
65,albany,42.6001,-73.9662,27.83,76.0,51.0,2.47,US,1719006045.0
66,lebu,-37.6167,-73.65,10.15,84.0,57.0,6.02,CL,1719006068.0
67,kyzyl-mazhalyk,51.1333,90.6,12.82,58.0,29.0,0.39,RU,1719006069.0
68,port alfred,-33.5906,26.891,18.09,64.0,100.0,2.87,ZA,1719006070.0
69,hamilton,39.1834,-84.5333,34.97,46.0,0.0,3.09,US,1719005583.0
70,cobija,-11.0267,-68.7692,31.1,66.0,40.0,2.57,BO,1719006072.0
71,mao,39.8885,4.2658,21.31,88.0,20.0,1.54,ES,1719006073.0
72,beyneu,45.3167,55.2,26.5,60.0,33.0,7.51,KZ,1719006074.0
73,udachny,66.4167,112.4,11.35,74.0,98.0,3.22,RU,1719005982.0
74,ribeira grande,38.5167,-28.7,22.1,87.0,13.0,3.58,PT,1719006077.0
75,karatas,36.582,35.3701,27.08,75.0,0.0,4.34,TR,1719006078.0
76,carhuamayo,-10.9167,-76.0333,6.63,78.0,100.0,0.63,PE,1719006079.0
77,arno,60.1167,18.6333,13.77,72.0,2.0,3.61,SE,1719006080.0
78,new norfolk,-42.7826,147.0587,5.95,95.0,20.0,1.28,AU,1719006081.0
79,bilibino,68.0546,166.4372,14.43,36.0,7.0,0.89,RU,1719006083.0
80,seryshevo,51.0933,128.3786,15.51,69.0,61.0,2.02,RU,1719006084.0
81,mishan,45.55,131.8833,12.91,99.0,100.0,3.27,CN,1719006085.0
82,san antonio de pale,-1.4014,5.6325,23.44,91.0,53.0,4.59,GQ,1719006086.0
83,sitka,57.0531,-135.33,17.94,48.0,75.0,6.17,US,1719006087.0
84,akobo,7.4344,3.9497,20.64,96.0,87.0,1.14,NG,1719006088.0
85,ushuaia,-54.8,-68.3,-2.19,80.0,20.0,2.06,AR,1719005892.0
86,pitea,65.3172,21.4794,14.05,86.0,31.0,1.38,SE,1719006091.0
87,garoowe,8.4054,48.4845,26.04,60.0,7.0,13.0,SO,1719006092.0
88,wailua homesteads,22.0669,-159.378,28.24,92.0,100.0,6.69,US,1719006093.0
89,korsakov,46.6328,142.7813,7.91,84.0,100.0,4.68,RU,1719006094.0
90,campoverde,-8.4753,-74.8058,29.83,99.0,100.0,0.48,PE,1719006095.0
91,nikel,69.4128,30.222,5.1,85.0,26.0,2.68,RU,1719006097.0
92,margaret river,-33.95,115.0667,13.76,59.0,99.0,9.31,AU,1719006098.0
93,afaahiti,-17.75,-149.2833,27.93,74.0,10.0,7.31,PF,1719006099.0
94,sanya,18.2431,109.505,28.09,94.0,75.0,3.0,CN,1719006100.0
95,antalaha,-14.9003,50.2788,21.16,84.0,74.0,3.32,MG,1719006101.0
96,saipan,15.1355,145.701,29.39,74.0,75.0,4.63,MP,1719006102.0
97,carutapera,-1.195,-46.02,24.38,94.0,33.0,2.82,BR,1719006104.0
98,tilcara,-23.5776,-65.3509,9.5,10.0,0.0,7.13,AR,1719006105.0
99,prince rupert,54.3161,-130.3201,15.05,78.0,100.0,2.57,CA,1719006106.0
100,tateyama,34.9833,139.8667,20.05,83.0,100.0,2.89,JP,1719006107.0
